SITE_NAME	SUB_SITE	DATE_OBS	TIME_OBS	TREE_ID	SPECIES	SAPFLOW_RATE	CRTFCN_CODE	REVISION_DATE
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1500	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1500	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1515	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1515	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1515	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1530	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1530	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1530	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1545	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1545	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1545	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1600	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1600	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1600	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1615	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1615	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1615	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1630	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1630	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1630	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1645	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1645	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1645	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1700	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1700	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	1700	2	Pinus banksiana'	0.0	CPI'	14-SEP-1998
